YB,l,b,r,dl,db,dr,hit rate
201,7.525711934,0.390513112,0.003994019,0.000463395,0.000523488,0.000677233,0.965517241
202,7.612391855,-0.109077866,0.002956463,0.000318844,0.000254277,0.000990227,0.339622642
203,7.635780871,-0.149181457,0.002338375,0.000256489,0.000172405,0.000460789,0.163265306
204,7.650497464,-0.16241679,0.002319673,0.000304499,0.000316064,0.000676159,0.529411765
205,7.797451405,-0.123943169,0.002920212,0.000353946,0.000339441,0.000834063,0.526315789
206,7.816687341,-0.461466224,0.003925097,0.000370769,0.000529399,0.001182173,0.411764706
207,7.927843615,-0.397589555,0.003988874,0.000301014,0.000672934,0.001255238,0.324324324
208,7.971898654,-0.36924607,0.002767583,0.00045756,0.000352797,0.0008731,0.452830189
209,7.978885047,-0.359017649,0.004047931,0.000647765,0.00029282,0.000958834,0.722222222
210,8.00467516,-0.13482207,0.001512598,0.000133017,0.000209048,0.000319089,0.233333333
211,8.122158367,0.132723649,0.003751746,0.000876982,0.000559785,0.001180775,0.519230769
212,8.139100577,-0.027739961,0.004275791,0.000461105,0.000417982,0.000921432,0.512195122
213,8.140946778,0.223943197,0.00523297,0.001268509,0.000645697,0.002147756,0.157894737
214,8.171644221,-0.080192473,0.002426827,0.000765158,0.000324789,0.000809006,0.208333333
215,8.202831732,-0.034326527,0.002220111,0.000318052,0.000355845,0.001063042,0.292682927
216,8.250312671,-0.44045114,0.005248182,0.000872327,0.000877639,0.00263824,0.333333333
217,8.276045771,0.50673307,0.001617619,0.000276514,0.000207943,0.000391575,0.285714286
218,8.344919176,0.063834203,0.009337636,0.001498045,0.001051696,0.002814138,0.153846154
219,8.346045232,-0.322695301,0.002111384,0.000304326,0.000252366,0.000451202,0.21875
220,8.350542061,-0.318640512,0.004661321,0.000952919,0.000471455,0.00160693,0.617647059
221,8.375737539,-0.347530303,0.004307754,0.0005027,0.001365593,0.001811307,0.40625
222,8.377418307,-0.352582934,0.004100985,0.000577849,0.000658609,0.002333054,0.1875
223,8.393239344,0.176171339,0.002465958,0.000596235,0.00075118,0.001276955,0.315789474
224,8.470775486,-0.26444895,0.006122645,0.001381326,0.002054406,0.00347462,0.423728814
225,8.562721514,-0.681517223,0.003911984,0.000743043,0.000858051,0.001828917,0.833333333
226,8.589225891,-0.227785798,0.002096751,0.000226169,0.000193266,0.000579483,0.255813953
227,8.613808789,0.294755862,0.001906753,0.000160924,0.000332121,0.000119454,0.172413793
228,8.641761032,-0.117327909,0.005415946,0.000489803,0.000396045,0.001094633,0.357142857
229,8.661889503,-0.342608828,0.006246389,0.000885956,0.001124856,0.001844453,0.44
230,8.668165195,-0.351930953,0.002180231,0.000135155,0.000603694,0.000444453,0.205128205
231,8.696277636,-0.177270081,0.004068545,0.000388006,0.000226868,0.002093747,0.135135135
232,8.739498663,-0.398583994,0.0026471,0.000276111,0.000381514,0.00074612,0.266666667
233,8.74409555,-0.388426612,0.002351309,0.000648985,0.000470226,0.000467393,0.444444444
234,8.814985803,-0.373181327,0.001622623,0.000217467,0.0002371,0.000466973,0.296296296
235,8.827205762,-0.026070928,0.002865396,0.000603267,0.000473617,0.001756721,0.225
236,8.872864686,-0.319493892,0.004060594,0.001036678,0.001294033,0.001055275,0.319148936
237,9.210506774,-0.20450933,0.0033676,0.0006213,0.000618089,0.001429468,0.659574468
