YB,YB_long,YB_lat,8umphotom,standard error 8,N8,EX8,12umphotom,standard error 12,N12,EX12,24umphotom,standard error 24,N24,EX24,70umphotom,standard error 70,N70,EX70
ID Number,degree,degree,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count,Jy,error,count,excluded count
3331,296.4641612,-0.709518396,0.5678,0.0171,5,0,0.2554,0.0042,5,0,0.6743,0.0144,5,0,8.7215,0.1845,5,0
3332,296.4972276,-0.442407238,0.923,0.1109,5,0,0.3485,0.048,5,0,0.9876,0.0854,5,0,25.7408,1.8959,5,0
3333,296.5473907,-0.645102929,0.9739,0.0182,2,0,0.3463,0.0411,5,0,0.7664,0.0392,5,0,17.6397,1.1395,5,0
3334,296.5571154,-0.946572219,0.5383,0.1092,5,0,0.1982,0.0424,5,0,0.4317,0.0943,3,0,7.457,1.0661,5,0
3335,296.5851161,-0.455074311,0.073,0.0059,5,0,0.005,0.0009,5,0,0.0538,0.0085,5,0,1.0885,0.1631,5,0
3336,296.5854049,-0.448962711,0.4792,0.0458,5,0,0.1255,0.0169,5,0,0.3815,0.0431,5,0,9.4142,0.2664,5,0
3337,296.6042821,-0.53687065,0.8389,0.0633,5,0,0.3472,0.0193,5,0,1.1075,0.0208,5,0,27.305,0.8738,5,0
3338,296.6911326,-0.370765525,0.0473,0.0094,5,0,0.0242,0.0037,5,0,0.0383,0.0073,5,0,0.3984,0.2447,5,0
3339,297.2076272,-0.308655551,0.1209,0.0259,5,0,0.0554,0.0035,5,0,0.0662,0.0063,5,0,1.8881,0.1452,5,0
3340,297.2258346,-0.829947648,0.358,0.0411,5,0,0.1349,0.0209,5,0,0.1142,0.0203,5,0,3.0163,0.3956,5,0
3341,297.2539021,-0.753220686,1.5394,0.2558,5,0,0.5102,0.0755,5,0,6.2339,0.6588,5,0,61.502,5.9437,5,0
3342,297.3114226,-0.47034784,0.0382,0.0017,5,0,0.014,0.0025,5,0,0.052,0.006,5,0,0.8571,0.0532,5,0
3343,297.3198442,-0.27752182,0.1061,0.0206,5,0,0.0256,0.0014,5,0,0.2704,0.0458,5,0,-0.2585,1.0389,5,0
3344,297.3260905,-0.279381201,0.7389,0.1232,5,0,0.1988,0.0178,5,0,0.4086,0.0644,5,0,10.6102,1.3139,5,0
3345,297.386968,-0.046574216,0.4156,0.0082,5,0,0.2374,0.0286,5,0,1.0361,0.0562,5,0,7.179,0.4629,5,0
3346,297.4020633,-0.651224197,0.2761,0.0512,5,0,0.1884,0.0157,5,0,3.1467,0.0337,5,0,65.3894,2.0396,5,0
3347,297.4060592,-0.075433314,0.0486,0.0067,5,0,0.0195,0.0037,5,0,0.0256,0.0031,5,0,0.1038,0.0661,5,0
3348,297.4537416,-0.009822471,1.3741,0.178,5,0,0.6579,0.0234,5,0,2.4391,0.0763,5,0,46.7893,1.2652,5,0
3349,297.456026,-0.747536456,0.2918,0.0128,5,0,0.1281,0.0058,5,0,2.5003,0.0335,5,0,10.0357,0.2261,5,0
